WKT,LinkID
"MULTILINESTRING ((10.933446 44.654193,10.934368 44.655104,10.934525 44.655202,10.934583 44.655172,10.934733 44.655175,10.934822 44.655238,10.934843 44.655266,10.936375 44.655274,10.937449 44.655166))",20939
"MULTILINESTRING ((10.934512 44.655365,10.934222 44.655703,10.933978 44.655915,10.93099 44.657819,10.930739 44.658001))",20939
"MULTILINESTRING ((10.931728 44.655004,10.934223 44.653813))",20940
"MULTILINESTRING ((10.929026 44.656234,10.92931 44.656222,10.931728 44.655004))",20940
