LinkID,int,Hr,link_speed_av,NOx,HC,CO,PM,PN,NO,veh_group
20936,451377404,451364866,0.12152777984738351,0.2217455902566277,0.012159570085574263,0.046231683705719034,0.003423555593499358,1317453787221.1775,0.2036598373098086,bus
20936,451376703,451364166,0,0.04366297700064556,0.0038576839026282085,0.009653393696051765,0.0014544768521822606,432986164108.9765,0.03988501514326362,hdv
20936,451376704,451364166,0,0.08732595400129112,0.007715367805256417,0.01930678739210353,0.0029089537043645213,865972328217.953,0.07977003028652724,hdv
20936,451376704,451364167,0,0.08732595400129112,0.007715367805256417,0.01930678739210353,0.0029089537043645213,865972328217.953,0.07977003028652724,hdv
20936,451376705,451364167,0.011574074625968933,0.26197786200387335,0.023146103415769247,0.05792036217631058,0.008726861113093565,2597916984653.859,0.23931009085958171,hdv
20936,451376706,451364168,0,0.04366297700064556,0.0038576839026282085,0.009653393696051765,0.0014544768521822606,432986164108.9765,0.03988501514326362,hdv
20936,451376706,451364169,0,0.02183148850032278,0.0019288419513141042,0.004826696848025882,7.272384260911303e-4,216493082054.48825,0.01994250757163181,hdv
20936,451376714,451364176,0.20370369950930278,0.3274723275048417,0.028932629269711563,0.07240045272038824,0.010908576391366956,3247396230817.3237,0.29913761357447716,hdv
20936,451376715,451364177,8.707729476949444,0.6545884764673067,0.0839071641431472,0.22993582585284508,0.03862392322967684,13959766940723.188,0.6066023434235486,hdv
20936,451376716,451364178,0,0.13098893100193668,0.011573051707884623,0.02896018108815529,0.004363430556546782,1298958492326.9294,0.11965504542979086,hdv
20936,451376716,451364179,0,0.04366297700064556,0.0038576839026282085,0.009653393696051765,0.0014544768521822606,432986164108.9765,0.03988501514326362,hdv
20936,451376717,451364179,0.08333333333333333,0.3274723275048417,0.028932629269711563,0.07240045272038824,0.010908576391366956,3247396230817.3237,0.29913761357447716,hdv
20936,451376723,451364185,0,0.02183148850032278,0.0019288419513141042,0.004826696848025882,7.272384260911303e-4,216493082054.48825,0.01994250757163181,hdv
20936,451377235,451364697,0,0.13098893100193668,0.011573051707884623,0.02896018108815529,0.004363430556546782,1298958492326.9294,0.11965504542979086,hdv
20936,451377236,451364698,0.0086805559694767,0.34930381600516447,0.030861471221025668,0.07722714956841412,0.011635814817458085,3463889312871.812,0.31908012114610895,hdv
20936,451377237,451364699,0,0.02183148850032278,0.0019288419513141042,0.004826696848025882,7.272384260911303e-4,216493082054.48825,0.01994250757163181,hdv
20936,451377238,451364700,0,0.04366297700064556,0.0038576839026282085,0.009653393696051765,0.0014544768521822606,432986164108.9765,0.03988501514326362,hdv
20936,451377246,451364708,4.83506943192333,0.814337692381276,0.09106696866897881,0.24299824212141047,0.03942019100540575,13593382181723.303,0.7504093521275852,hdv
20936,451377246,451364709,12.152777910232544,0.12406013459022684,0.01791514084125172,0.04968464275577111,0.00865783176345578,3180794825708.2324,0.11544558972717697,hdv
20936,451377247,451364709,0,0.17465190800258223,0.015430735610512834,0.03861357478420706,0.0058179074087290426,1731944656435.906,0.15954006057305448,hdv
20936,451377248,451364710,0.07352941176470588,0.37113530450548726,0.03279031317233977,0.08205384641644,0.012363053243549216,3680382394926.301,0.33902262871774075,hdv
20936,451377255,451364717,0,0.02183148850032278,0.0019288419513141042,0.004826696848025882,7.272384260911303e-4,216493082054.48825,0.01994250757163181,hdv
20936,451377371,451364833,0,0.1091574425016139,0.00964420975657052,0.024133484240129413,0.0036361921304556514,1082465410272.4413,0.09971253785815905,hdv
20936,451377371,451364834,0,0.04366297700064556,0.0038576839026282085,0.009653393696051765,0.0014544768521822606,432986164108.9765,0.03988501514326362,hdv
20936,451377372,451364834,0,0.04366297700064556,0.0038576839026282085,0.009653393696051765,0.0014544768521822606,432986164108.9765,0.03988501514326362,hdv
20936,451377373,451364835,0,0.04366297700064556,0.0038576839026282085,0.009653393696051765,0.0014544768521822606,432986164108.9765,0.03988501514326362,hdv
20936,451377374,451364836,0,0.02183148850032278,0.0019288419513141042,0.004826696848025882,7.272384260911303e-4,216493082054.48825,0.01994250757163181,hdv
20936,451377374,451364837,0,0.02183148850032278,0.0019288419513141042,0.004826696848025882,7.272384260911303e-4,216493082054.48825,0.01994250757163181,hdv
20936,451377377,451364839,0,0.02183148850032278,0.0019288419513141042,0.004826696848025882,7.272384260911303e-4,216493082054.48825,0.01994250757163181,hdv
20936,451377398,451364860,0,0.02183148850032278,0.0019288419513141042,0.004826696848025882,7.272384260911303e-4,216493082054.48825,0.01994250757163181,hdv
20936,451377400,451364862,0.039682541574750624,0.15282041950225944,0.01350189365919873,0.033786877936181174,0.0050906689826379125,1515451574381.4177,0.13959755300142268,hdv
20936,451377400,451364863,0,0.02183148850032278,0.0019288419513141042,0.004826696848025882,7.272384260911303e-4,216493082054.48825,0.01994250757163181,hdv
20936,451377401,451364863,0,0.1091574425016139,0.00964420975657052,0.024133484240129413,0.0036361921304556514,1082465410272.4413,0.09971253785815905,hdv
20936,451377402,451364864,0.8159722089767456,0.1812266841232764,0.019492836944523192,0.04979064748883909,0.008420488155339186,2649004327236.0454,0.16604222872321062,hdv
20936,451377402,451364865,0,0.02183148850032278,0.0019288419513141042,0.004826696848025882,7.272384260911303e-4,216493082054.48825,0.01994250757163181,hdv
20936,451377403,451364865,0,0.06549446550096834,0.005786525853942312,0.014480090544077645,0.002181715278273391,649479246163.4647,0.05982752271489543,hdv
20936,451377404,451364866,0.02777777910232544,0.1091574425016139,0.00964420975657052,0.024133484240129413,0.0036361921304556514,1082465410272.4413,0.09971253785815905,hdv
